PSR,Observatory,Nepochs,Epoch1,RMS1,Epoch2,RMS2,Epoch3,RMS3,Epoch4,RMS4,Epoch5,RMS5,,,,,,
J1832-0836,GBT,4,2005,nan,2013,0.352473060959627,2021,0.447878148686553,2026,0.447878148686553,,,,,,,,
J1843-1113,GBT,4,2005,nan,2017,0.221951706289253,2021,0.281762530710938,2026,0.281762530710938,,,,,,,,
J1909-3744,GBT,4,2005,0.0588304743126195,2010,0.0295251284260153,2021,0.0413345218917957,2026,0.0413345218917957,,,,,,,,
J1911-1114,GBT,4,2005,nan,2017,1.49704356783263,2021,1.89487856531982,2026,1.89487856531982,,,,,,,,
J1918-0642,GBT,4,2005,0.612316379039227,2010,0.301266850167016,2021,0.386522398647092,2026,0.386522398647092,,,,,,,,
J2124-3358,GBT,4,2005,nan,2017,0.83606560168468,2021,1.06265048572435,2026,1.06265048572435,,,,,,,,
J2145-0750,GBT,4,2005,0.677322757167559,2010,0.22467374015381,2021,0.305695415031361,2026,0.305695415031361,,,,,,,,
J2302+4442,GBT,4,2005,nan,2012,1.06104288972659,2021,1.34684724664984,2026,1.34684724664984,,,,,,,,
J225457+573803,GBT,4,2005,nan,2019,0.0295138132027,2021,0.053601912766303,2026,0.053601912766303,,,,,,,,
J125018-352913,GBT,4,2005,nan,2019,0.0566245750062,2021,0.108787502992212,2026,0.108787502992212,,,,,,,,
J084223-162450,GBT,3,2005,nan,2020,0.0617401169894,2021,0.116716176648368,2026,0.116716176648368,,,,,,,,
J112828-132603,GBT,3,2005,nan,2020,0.109308191061,2021,0.193669220313646,2026,0.193669220313646,,,,,,,,
J011216-224403,GBT,3,2005,nan,2021,0.48628386923567,2026,0.48628386923567,,,,,,,,,,
J152159-261119,GBT,3,2005,nan,2021,0.222075904958237,2026,0.222075904958237,,,,,,,,,,
J0030+0451,AO,5,2005,0.485961294949318,2014,0.324058868505362,2015,0.162029434252681,2021,0.301780401863052,2026,0.301780401863052,,,,,,
J1640+2224,AO,5,2005,0.257158309942856,2012,0.122896598862569,2015,0.0614482994312845,2021,0.11538504775375,2026,0.11538504775375,,,,,,
J1713+0747,AO,5,2005,0.0839749081912209,2012,0.0486910295022539,2015,0.024345514751127,2021,0.0488335459512405,2026,0.0488335459512405,,,,,,
J1738+0333,AO,5,2005,nan,2010,1.06767843917669,2012,0.693598726159958,2021,1.08069499761784,2026,1.08069499761784,,,,,,
J1741+1351,AO,5,2005,nan,2010,0.110516056174874,2012,0.101378816593619,2021,0.181797463793891,2026,0.181797463793891,,,,,,
J1853+1303,AO,5,2005,nan,2009,0.386118039765167,2012,0.205365121134903,2021,0.33119720849595,2026,0.33119720849595,,,,,,
J1903+0327,AO,5,2005,nan,2010,1.484199460154,2012,0.500836408994467,2021,0.777150235248116,2026,0.777150235248116,,,,,,
J1923+2515,AO,5,2005,nan,2011,0.617304317302927,2012,0.375766219348875,2021,0.654740431444015,2026,0.654740431444015,,,,,,
J1944+0907,AO,5,2005,nan,2008,0.445288512488311,2012,0.299334197754577,2021,0.494764293956101,2026,0.494764293956101,,,,,,
B1953+29,AO,5,2005,nan,2007,1.61300971686345,2012,0.567411278134336,2021,1.01052901938321,2026,1.01052901938321,,,,,,
J2017+0603,AO,5,2005,nan,2011,0.777619469398805,2012,0.44786780936958,2021,0.703594869619399,2026,0.703594869619399,,,,,,
J2043+1711,AO,5,2005,nan,2012,0.110271359016298,2015,0.055135679508149,2021,0.0880524764678532,2026,0.0880524764678532,,,,,,
J2214+3000,AO,5,2005,nan,2010,5.1993590168702,2012,0.850399148204413,2021,1.32663928131455,2026,1.32663928131455,,,,,,
J2317+1439,AO,5,2005,0.348763865718504,2013,0.145802214872878,2015,0.072901107436439,2021,0.117597989334872,2026,0.117597989334872,,,,,,
J0023+0923,AO,4,2005,nan,2012,0.181260030147757,2021,0.287614895934327,2026,0.287614895934327,,,,,,,,
J0406+3039,AO,4,2005,nan,2017,0.440415998370309,2021,0.684378612831156,2026,0.684378612831156,,,,,,,,
J0509+0856,AO,4,2005,nan,2017,2.89533753581756,2021,4.48876547609714,2026,4.48876547609714,,,,,,,,
J0557+1551,AO,4,2005,nan,2016,2.17094235576861,2021,3.36529209668954,2026,3.36529209668954,,,,,,,,
J0621+2514,AO,4,2005,nan,2016,4.03323726075321,2021,6.2517330969175,2026,6.2517330969175,,,,,,,,
J0709+0458,AO,4,2005,nan,2016,5.81857713683481,2021,9.3161655090614,2026,9.3161655090614,,,,,,,,
J1022+1001,AO,4,2005,nan,2016,0.611606124311227,2021,1.22194162757115,2026,1.22194162757115,,,,,,,,
J1312+0051,AO,4,2005,nan,2016,2.0489886398758,2021,3.17752240983612,2026,3.17752240983612,,,,,,,,
J1453+1902,AO,4,2005,nan,2014,0.878144353181442,2021,1.37061896356814,2026,1.37061896356814,,,,,,,,
J1745+1017,AO,4,2005,nan,2016,0.395578850578834,2021,0.615174262077999,2026,0.615174262077999,,,,,,,,
B1855+09,AO,4,2005,0.151860601517465,2012,0.123423693983597,2021,0.23770044532623,2026,0.23770044532623,,,,,,,,
J1910+1256,AO,4,2005,1.05623072877593,2012,0.537928754490353,2021,0.899119419723368,2026,0.899119419723368,,,,,,,,
J1911+1347,AO,4,2005,nan,2015,0.180431787431886,2021,0.302370257831203,2026,0.302370257831203,,,,,,,,
J1946+3417,AO,4,2005,nan,2015,0.567405594011657,2021,0.881892879927689,2026,0.881892879927689,,,,,,,,
J2033+1734,AO,4,2005,nan,2014,0.555215592654245,2021,0.876758561804613,2026,0.876758561804613,,,,,,,,
J2229+2643,AO,4,2005,nan,2015,0.252862167910612,2021,0.396407008620897,2026,0.396407008620897,,,,,,,,
J2234+0611,AO,4,2005,nan,2014,0.097219769144087,2021,0.169749624136905,2026,0.169749624136905,,,,,,,,
J2234+0944,AO,4,2005,nan,2014,0.386679152948557,2021,0.604643671506815,2026,0.604643671506815,,,,,,,,
J2322+2057,AO,4,2005,nan,2015,0.249912862080261,2021,0.406067046748,2026,0.406067046748,,,,,,,,
J184933+202543,AO,4,2005,nan,2019,0.169504856623,2021,0.16462776929362,2026,0.16462776929362,,,,,,,,
J200538+313936,AO,4,2005,nan,2019,0.0702719111267,2021,0.14682405364128,2026,0.14682405364128,,,,,,,,
J203642+282533,AO,3,2005,nan,2020,0.128155655053,2021,0.18829133569446,2026,0.18829133569446,,,,,,,,
J024858+255754,AO,3,2005,nan,2020,0.0794745163847,2021,0.2161678835416,2026,0.2161678835416,,,,,,,,
J020944+250656,AO,3,2005,nan,2021,0.3251935417066,2026,0.3251935417066,,,,,,,,,,
J204638+334131,AO,3,2005,nan,2021,0.29517109442878,2026,0.29517109442878,,,,,,,,,,
